Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,BESA_Std,Speaker_Group,Age_Group,Contexts,SPA_Pct,Verb_Freq_Std
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-06,0,NA,NA,NA,NA,NA,que hacen ejercicio,Indicative,Subjunctive,NA,NA,hacer,2726954,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,2.2592064523195026
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-10,1,NA,NA,NA,NA,NA,que abren la puerta,NA,Subjunctive,NA,NA,abrir,143932,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.7720166363876065
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-14,0,NA,NA,NA,NA,NA,quiere que entran,Regular verb,Subjunctive,NA,NA,ir,603647,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.23253275966298378
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-18,0,NA,NA,NA,NA,NA,quiere que comen,Indicative,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.6900769080593596
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-22,0,NA,NA,NA,NA,NA,quiere que se ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.3374006847728143
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-26,0,NA,NA,NA,NA,NA,que ven la tele,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,0.950547173234953
H11,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,2,4,3,8,Russian,No,Yes,Yes,Production,Prod-28,1,NA,NA,NA,NA,NA,que sea soleado,NA,Subjunctive,NA,NA,salir,334324,Irregular,0.5450539374761159,L2L,7th/8th,6,0.3333333333333333,-0.5485881768912787
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-02,0,NA,NA,NA,NA,NA,quiere escribir,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.6291384597804124
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-06,NA,NA,NA,NA,NA,Transfer,quiere los niños jugar,Regular verb,Subjunctive,NA,NA,hacer,2726954,Irregular,-1.2945031015057689,L2L,7th/8th,4,0.5,2.2592064523195026
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-10,0,NA,NA,NA,NA,NA,abre la puerta,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.7720166363876065
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-14,0,NA,NA,NA,NA,NA,salir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.23253275966298378
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-18,0,NA,NA,NA,NA,NA,comer,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.6900769080593596
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-22,NA,NA,NA,NA,NA,NA,tener/sacar,Regular verb,Subjunctive,NA,NA,poner,514285,Irregular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.3374006847728143
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-26,0,NA,NA,NA,NA,NA,ver la televisión,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,-1.2945031015057689,L2L,7th/8th,4,0.5,0.950547173234953
H12,1,1,L2L 7th/8th,8,NA,174,NA,NA,NA,2,2,NA,5,L2 learner,L2,L2,L2,Production,Prod-28,0,NA,NA,NA,NA,NA,mucha calor/ver el sol,Other,Subjunctive,NA,NA,salir,334324,Irregular,-1.2945031015057689,L2L,7th/8th,4,0.5,-0.5485881768912787
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-02,0,NA,NA,NA,NA,NA,que escriben,Indicative,Subjunctive,NA,NA,escribir,265684,Regular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,-0.6291384597804124
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-06,NA,NA,NA,NA,NA,Subj with diff verb,que ejercicien,Regular verb,Subjunctive,NA,NA,hacer,2726954,Irregular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,2.2592064523195026
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-10,0,NA,NA,NA,NA,NA,que la abren,Indicative,Subjunctive,NA,NA,abrir,143932,Regular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,-0.7720166363876065
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-14,0,NA,NA,NA,NA,NA,que salir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,-0.23253275966298378
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-18,0,NA,NA,NA,NA,NA,que comen el arroz,Indicative,Subjunctive,NA,NA,comer,213756,Regular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,-0.6900769080593596
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-22,0,NA,NA,NA,NA,"Se, clitic",que se lo ponen,Indicative,Subjunctive,NA,NA,poner,514285,Irregular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,-0.3374006847728143
H13,1,1,L2L 7th/8th,8,NA,173,NA,NA,NA,3,4,NA,8,"Bulgarian, Russian",No,Yes,Yes,Production,Prod-26,0,NA,NA,NA,NA,NA,que ven el televisión,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,0.5450539374761159,L2L,7th/8th,7,0.42857142857142855,0.950547173234953
