Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,BESA_Std,Speaker_Group,Age_Group,Total_Score,SPA_Pct,Verb_Freq_Std
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-26,0,NA,NA,NA,NA,NA,que usan la televisión,Indicative,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,0.947884570880832
H45,HS 4th/5th,5,NA,136,4,4,NA,3,Production,Prod-28,NA,NA,NA,NA,NA,Removed 0 for accuracy; no verb -Jen,la sol,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-2.133846334868523,HS,4th/5th,8,0.5,-0.5470515123128521
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-02,NA,NA,NA,NA,NA,Removed 0 for accuracy; English -Jen,write un papel,NA,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.6273761637142651
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-06,NA,NA,NA,NA,NA,Removed 0 for accuracy; English verb _Jen,la papá exercise,NA,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,2.252878130498378
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-10,NA,NA,NA,NA,NA,Removed 0 for accuracy; English -Jen,opens la door,NA,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.769854120553205
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-14,NA,NA,NA,NA,NA,Removed 0 for accuracy; English -Jen,wants to get out,NA,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.2318814061155509
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-18,0,NA,NA,NA,NA,NA,comer una sopa,NA,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.6881439157243551
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-22,NA,NA,NA,NA,NA,Removed 0 for accuracy-English -Jen,takes off,NA,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.33645558295898137
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-26,NA,NA,NA,NA,NA,Removed 0 for accuracy English -Jen,watching tele,NA,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,0.947884570880832
H46,HS 4th/5th,5,NA,146,2,3,NA,6,Production,Prod-28,NA,NA,NA,NA,NA,"Removed 0 for accuracy, no verb -Jen",la sol,NA,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,-0.4492308073407407,HS,4th/5th,5,0.4,-0.5470515123128521
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-02,0,NA,NA,NA,NA,NA,a dibujar,Infinitive,Subjunctive,NA,NA,escribir,265684,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6273761637142651
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-06,0,NA,NA,NA,NA,NA,hacer ejercicio,Infinitive,Subjunctive,NA,NA,hacer,2726954,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,2.252878130498378
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-10,0,NA,NA,NA,NA,NA,abrir la puerta,Infinitive,Subjunctive,NA,NA,abrir,143932,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.769854120553205
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-14,0,NA,NA,NA,NA,NA,a salir,Infinitive,Subjunctive,NA,NA,ir,603647,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.2318814061155509
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-18,0,NA,NA,NA,NA,NA,a comerlad,Infinitive,Subjunctive,NA,NA,comer,213756,Regular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.6881439157243551
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-22,0,NA,NA,NA,NA,NA,a poner,Infinitive,Subjunctive,NA,NA,poner,514285,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.33645558295898137
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-26,0,NA,NA,NA,NA,NA,mirar TV,Infinitive,Subjunctive,NA,NA,ver,1611795,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,0.947884570880832
H77,HS 4th/5th,4,11,132,5,5,NA,8,Production,Prod-28,NA,NA,NA,NA,NA,Removed 0 for accuracy -Jen,a la sol,DP,Subjunctive,NA,NA,salir,334324,Irregular,Heritage Spanish,NA,NA,NA,0.6738462110111139,HS,4th/5th,10,0.5,-0.5470515123128521
