Part_ID,Cohort,Session,Group,Grade,Age,Months_at_Start,AoA_SPA,AoA_ENG,SPA_Use,SPA_Contexts,ENG_Contexts,Langs,BESA_Score,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Initial_Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-14,0,,,,,,van a salir,Indicative,Subjunctive,,,ir,603647,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-15,0,1,1,,,Changed to 0 -Jen,van a ponerlo en la mesa,Number,Clitic,Masculine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-16,0,,,,,,su hijo,Omission,DOM,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-17,,,,1,1,,van a comer las galletas,Omission,Clitic,Feminine,Plural,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-18,0,,,,,,que comen su cena,Indicative,Subjunctive,,,comer,213756,Regular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-19,,,,,,,cocinar,Infinitive,Clitic,Masculine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-20,0,,,,,,una hija,Omission,DOM,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-21,,,,1,1,,van a cerrar la puerta,DP,Clitic,Feminine,Singular,,,
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-22,0,,,,,,que ponen,Indicative,Subjunctive,,,poner,514285,Irregular
H04,1,1,L2,8,,166,,,,1,4,,8,L2 learner,L2,L2,L2,Production,Prod-23,,,,,,,hacer musica,DP,Clitic,Masculine,Plural,,,
