Part_ID,Group,Grade,Age,Months,SPA_Score,ENG_Score,Langs,BESA_Score,Task,Item,Accuracy,Accuracy_Clit_Gen,Accuracy_Clit_Num,Accuracy_DP_Gen,Accuracy_DP_Num,Questions,Response,Error_Type,Structure,Gender,Number,Verb,Verb_Freq,Verb_Type,Home_Lang_Group,HL_DOM,HL_Gender,HL_Subj
H06,L2,8,,174,2,4,,8,Production,Prod-16,1,,,,,,a su hijo,,DOM,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-17,,,,,,,están comiendo,Omission,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-18,,,,,,,comer,Infinitive,Subjunctive,,,comer,213756,Regular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-19,,,,,,,comer,Omission,Clitic,Masculine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-20,,,,,,,cocinar,Omission,DOM,Feminine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-21,,,,1,1,,ve la niña,DP,Clitic,Feminine,Singular,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-22,,,,,,,la cercan,Indicative,Subjunctive,,,poner,514285,Irregular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-23,0,0,1,,,,ponerlas,,Clitic,Masculine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-24,,,,,,,están haciendo música,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-25,1,,,1,1,,ven las dos niñas,DP,Clitic,Feminine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-26,0,,,,,,lo ponen en su cara,Indicative,Subjunctive,,,ver,1611795,Irregular,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-27,,,,,,,ver la televisión,Omission,DOM,Feminine,Plural,,,,L2 learner,L2,L2,L2
H06,L2,8,,174,2,4,,8,Production,Prod-28,0,,,,,,salir el sol,Indicative,Subjunctive,,,salir,334324,Irregular,L2 learner,L2,L2,L2
H07,Heritage,8,,171,4,4,,8,Production,Prod-01,0,,,,,,viendo su hijo,Omission,DOM,Masculine,Singular,,,,Heritage Spanish,,,
